url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-authentication,Authentication,Authentication concepts in Microsoft Azure Data Manager for Energy,,This article describes various concepts of authentication in Azure Data Manager for Energy.,"Authentication confirms the identity of users. The access flows can be user triggered, system triggered, or system API communication. In this article, you learn about service principals and authorization tokens.",2024-01-12T18:04:00.000Z,conceptual,,0.4,False,"Authentication concepts article; explains service principals and tokens conceptually, but summary does not indicate specific RBAC roles, scopes, or parameter tables.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-csv-parser-ingestion,CSV parser ingestion,Microsoft Azure Data Manager for Energy csv parser ingestion workflow concept,,Learn how to use CSV parser ingestion.,"A CSV (comma-separated values) file is a comma delimited text file that is used to save data in a table structured format. A CSV ParserDAGallows a customer to load data into Microsoft Azure Data Manager for Energy instance based on a custom schema that is, a schema that doesn't match theOSDU®Well Known Schema (WKS). Customers must create and register the custom schema using the Schema service before loading the data. A CSV Parser DAG implements an ELT (Extract Load and Transform) approach to dat",2023-06-27T17:04:00.000Z,conceptual,,0.3,False,"Conceptual description of CSV parser ingestion workflow; focuses on ELT concept and custom schema, not on numeric limits or detailed configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-ddms,Domain Data Management Services (DDMS),Domain data management services concepts,,Learn how to use Domain Data Management Services,Domain Data Management Service (DDMS)– is a platform component that extendsOSDU®core data platform with domain specific model and optimizations. DDMS is a mechanism of a platform extension that: OSDU® Technical Standard defines the following types of OSDU® application types:,2024-04-28T11:16:00.000Z,conceptual,,0.2,False,"Domain Data Management Services concepts; conceptual platform extension description without concrete configuration, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-entitlements,Entitlements,Entitlement concepts in Azure Data Manager for Energy,,This article describes various concepts of the entitlement service in Azure Data Manager for Energy.,"Access management is a critical function for any service or resource. The entitlement service lets you control who can use your Azure Data Manager for Energy instance, what they can see or change, and which services or data they can use.",2024-02-13T23:32:00.000Z,conceptual,,0.3,False,"Conceptual description of entitlement service and access management; summary does not indicate concrete RBAC role names, permission scopes, or configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-index-and-search,Indexing and search,Microsoft Azure Data Manager for Energy - index and search workflow concepts,,Learn how to use indexing and search workflows,All data and associated metadata ingested into the platform are indexed to enable search. The metadata is accessible to ensure awareness even when the data isn't available.,2024-04-28T11:16:00.000Z,conceptual,,0.2,False,"Index and search workflow concepts; high-level description of indexing and metadata accessibility, not detailed configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-manifest-ingestion,Manifest ingestion,Microsoft Azure Data Manager for Energy manifest ingestion concepts,,This article describes manifest ingestion concepts,Manifest-based file ingestion provides end-users and systems a robust mechanism for loading metadata about datasets in Azure Data Manager for Energy instance. This metadata is indexed by the system and allows the end-user to search the datasets. Manifest-based file ingestion is an opaque ingestion that do not parse or understand the file contents. It creates a metadata record based on the manifest and makes the record searchable.,2023-06-27T17:04:00.000Z,conceptual,,0.3,False,"Manifest ingestion concepts article; conceptual explanation of metadata and search, without specific limits, configs, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-reference-data-values,Syncing Reference data values,Reference Data Value in Microsoft Azure Data Manager for Energy,,This article describes Reference Values and how Reference Data Values are automatically loaded in Azure Data Manager.,"This article provides an overview of reference data values in OSDU® Data Platform, and explains how Azure Data Manager for Energy helps you synchronize them with OSDU® community standards.",2026-01-11T12:09:00.000Z,article,,0.2,False,"Overview of reference data values and synchronization; summary does not show specific configuration parameters, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/concepts-tier-details,Tier details,Microsoft Azure Data Manager for Energy tier concepts - Developer and Standard SKU,Choose Azure Data Manager for Energy tier,This article describes tier concepts,Azure Data Manager for Energy is available in two tiers; Standard and Developer.,2025-10-10T22:10:00.000Z,conceptual,decision-making,0.7,True,Tier concepts for Developer vs Standard SKU typically include comparison criteria and guidance on when to use each tier; this is product- and SKU-specific decision guidance beyond generic knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/faq-energy-data-services,FAQ,Microsoft Azure Data Manager for Energy FAQ,,Get answers to common questions about Azure Data Manager for Energy.,This article answers commonly asked questions about Azure Data Manager for Energy.,2026-02-11T18:17:00Z,faq,,0.0,False,"FAQ content is primarily conceptual and informational (service description, availability, general usage). It does not focus on numeric limits, detailed configuration parameters, error-code-based troubleshooting, or decision matrices with quantified trade-offs as required by the sub-skill definitions.",updated
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-add-more-data-partitions,Manage data partitions,How to manage partitions,Configure and manage data partitions in ADME,This is a how-to article on managing data partitions using the Microsoft Azure Data Manager for Energy instance UI.,"The concept of ""data partitions"" is picked fromOSDU®where single deployment can contain multiple partitions. In the following how-to article, you learn about how to add new data partitions to an existing Azure Data Manager for Energy instance. Each partition provides the highest level of data isolation within a single deployment. All access rights are governed at a partition level. Data is separated in a way that allows for the partition's life cycle and deployment to be handled independently. (",2023-06-29T11:24:00.000Z,how-to,configuration,0.65,True,"How-to for adding partitions usually includes partition identifiers, allowed formats, and configuration steps specific to Azure Data Manager for Energy, fitting configuration of isolation units.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-convert-segy-to-ovds,Convert SEG-Y to oVDS,Microsoft Azure Data Manager for Energy Preview - How to convert a segy to ovds file,,This article explains how to convert a SEG-Y file to oVDS file format,"In this article, you learn how to convert SEG-Y formatted data to the Open VDS (oVDS) format. Seismic data stored in the industry standard SEG-Y format can be converted to oVDS format for use in applications via the Seismic DDMS. See here for  OSDU® community reference:SEG-Y to oVDS conversation. This tutorial is a step by step guideline on how to perform the conversion. Note the actual production workflow may differ and use it as a guide for the required set of steps to achieve the conversion.",2025-08-08T17:09:00.000Z,how-to,,0.3,False,"Similar to index 3, this is a step-by-step tutorial for converting SEG-Y to oVDS; primarily a procedural guide without clear indication of configuration matrices, limits, or troubleshooting mappings that qualify as expert reference under the given sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-convert-segy-to-zgy,Convert SEG-Y to ZGY,Microsoft Azure Data Manager for Energy Preview - How to convert segy to zgy file,,This article describes how to convert a SEG-Y file to a ZGY file,"In this article, you learn how to convert SEG-Y formatted data to the ZGY format. Seismic data stored in industry standard SEG-Y format can be converted to ZGY for use in applications such as Petrel via the Seismic DMS. See here forZGY Conversion FAQ'sand more background can be found in the OSDU® community here:SEG-Y to ZGY conversation. This tutorial is a step by step guideline on how to perform the conversion. Note the actual production workflow may differ and use it as a guide for the require",2025-08-08T17:09:00.000Z,how-to,,0.3,False,"Described as a step-by-step tutorial for converting SEG-Y to ZGY; likely focuses on procedural steps rather than configuration tables, limits, or product-specific diagnostic mappings. It reads as a workflow guide rather than expert reference content per the defined categories.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-create-lockbox,Set up Lockbox,Use Lockbox for Microsoft Azure Data Manager for Energy,Use Customer Lockbox with Azure Data Manager,Learn how to use Customer Lockbox as an interface to review and approve or reject access requests.,Azure Data Manager for Energy is the managed service offering for OSDU®. There are instances where Microsoft Support may need to access your data or compute layer during a support request. You can use Customer Lockbox as an interface to review and approve or reject these access requests. This article covers how Customer Lockbox requests are initiated and tracked for Azure Data Manager for Energy.,2023-06-28T11:14:00.000Z,how-to,security,0.7,True,"Explains how Lockbox requests are initiated and tracked for ADME; likely includes specific workflows, permissions, and settings unique to this service’s security model.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-deploy-gcz,Deploy Geospatial Consumption Zone (GCZ),Deploy Geospatial Consumption Zone on top of Azure Data Manager for Energy,Deploy Geospatial Consumption Zone on ADME,Learn how to deploy Geospatial Consumption Zone on top of your Azure Data Manager for Energy instance.,"The OSDU Geospatial Consumption Zone (GCZ) is a service that enables enhanced management and utilization of geospatial data. The GCZ streamlines the handling of location-based information. It abstracts away technical complexities, allowing software applications to access geospatial data without needing to deal with intricate details. By providing ready-to-use map services, the GCZ facilitates seamless integration with OSDU-enabled applications. This guide shows you how to deploy the Geospatial C",2024-11-20T18:03:00.000Z,how-to,deployment,0.7,True,"Deployment guide for GCZ on top of ADME; likely includes product-specific deployment requirements, supported tiers, and configuration steps beyond generic deployment knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-deploy-osdu-admin-ui,Deploy OSDU Admin UI,Deploy OSDU Admin UI on top of Azure Data Manager for Energy,Deploy OSDU Admin UI on Azure Data Manager,Learn how to deploy the OSDU Admin UI on top of your Azure Data Manager for Energy instance.,"This guide shows you how to deploy the OSDU Admin UI on top of your Azure Data Manager for Energy (ADME) instance. The OSDU Admin UI enables platform administrators to manage the Azure Data Manager for Energy data partition you connect it to. The management tasks include entitlements (user and group management), legal tags, schemas, reference data, view, and visualize objects on a map.",2024-10-22T22:04:00.000Z,how-to,deployment,0.7,True,Shows how to deploy OSDU Admin UI on ADME; such content typically includes environment-specific deployment parameters and constraints unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-enable-cors,Set up Resource sharing (CORS),How to enable CORS - Azure Data Manager for Energy,Configure CORS policies for Azure Data Manager for Energy,Guide on CORS in Azure data manager for Energy and how to set up CORS,This document is to help you as user of Azure Data Manager for Energy to set up CORS policies.,2024-04-04T11:20:00.000Z,how-to,security,0.7,True,"A 'how to enable CORS' page for a specific service typically includes concrete configuration steps and parameter values (allowed origins, headers, methods) specific to Azure Data Manager for Energy endpoints, which are product-specific security configuration details beyond generic CORS concepts.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-enable-external-data-services,How to enable External Data Services (EDS),Enable External Data Services in Azure Data Manager for Energy,Configure External Data Services for Azure Data Manager for Energy,Learn how to enable External Data Services (EDS) to pull metadata from OSDU-compliant external data sources into Azure Data Manager for Energy.,This article describes how to enable External Data Services (EDS) in Azure Data Manager for Energy. EDS allows you to pull metadata from OSDU-compliant external data sources into Azure Data Manager for Energy. Azure resources can use amanaged identityto authenticate to other services without storing credentials in code. Use either a system-assigned or user-assigned managed identity to enable the EDS secret service to access secrets stored in your Azure Key Vault.,2026-02-11T18:17:00.000Z,how-to,configuration,0.7,True,"Describes how to enable External Data Services, including use of managed identities and Azure Key Vault secrets for the EDS secret service. This is product-specific configuration guidance that likely includes concrete settings (system-assigned vs user-assigned identity, Key Vault access configuration) rather than just conceptual explanation.",new
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-enable-legal-tags-restricted-country-of-origin,How to enable legal tags restricted COO (Country of Origin),Microsoft Azure Data Manager for Energy - How to enable legal tag creation for restricted country of origin data,Enable legal tags for restricted origin data,This article describes how to enable legal tag creation for restricted country of origin data.,Legal tag definitions represent the legal status of the data hosted on an Azure Data Manager for Energy resource. A valid legal tag is required for data ingestion and retrieval stored on the resource. SeeHow to manage legal tags.,2025-04-08T11:16:00.000Z,how-to,security,0.7,True,"Focuses on enabling legal tag creation for restricted country-of-origin data; likely includes specific compliance-related settings and conditions, which are product-specific security/compliance configurations.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-enable-reservoir-ddms,How to enable Reservoir DDMS,Microsoft Azure Data Manager for Energy - How to enable Reservoir DDMS,Enable Reservoir DDMS in Azure Data Manager for Energy,This article describes how to enable Reservoir DDMS in Azure Data Manager for Energy.,"The Reservoir Domain Data Management Service (Reservoir DDMS) is a group of services that provides storage associated with seismic and well interpretation, structural modeling, geological modeling, and reservoir modeling including reservoir simulation input. Important Reservoir DMS is now a generally available service on Azure Data Manager for Energy. The service is available on all instances by default and do not require the steps below to make the service available. OSDU® Reservoir DDMSis now ",2026-02-19T06:12:00.000Z,how-to,configuration,0.65,True,"Covers enabling the Reservoir Domain Data Management Service, a product-specific capability with particular activation/availability behavior (now GA, available by default on all instances). Even though it notes that steps may no longer be required, the article is a configuration-focused guide for this specialized service and likely includes product-specific settings or prerequisites.",updated
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-generate-auth-token,Generate auth token,Generate a refresh token for Azure Data Manager for Energy,Generate auth and refresh tokens for Azure Data Manager for Energy,This article describes how to generate an auth token.,"In this article, you learn how to generate the service principal auth token, a user's auth token, and a user's refresh token.",2024-04-23T22:05:00.000Z,how-to,security,0.75,True,"Token generation for this specific service will include concrete authentication parameters (scopes, resource URIs, client IDs, grant types) and possibly example requests unique to Azure Data Manager for Energy, which are product-specific security/auth configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-integrate-airflow-logs-with-azure-monitor,Airflow task logs integration with Azure Monitor,Integrate airflow logs with Azure Monitor - Microsoft Azure Data Manager for Energy,Integrate Airflow task logs with Azure Monitor,"This is a how-to article on how to start collecting Airflow Task logs in Azure Monitor, archiving them to a storage account, and querying them in Log Analytics workspace.","In this article, you'll learn how to start collecting Airflow Logs for your Microsoft Azure Data Manager for Energy instances into Azure Monitor. This integration feature helps you debug Airflow DAG (Directed Acyclic Graph) run failures.",2023-06-28T17:04:00.000Z,how-to,integrations,0.8,True,"Describes collecting Airflow logs into Azure Monitor for ADME; likely includes diagnostic setting names, categories, and configuration parameters specific to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-integrate-elastic-logs-with-azure-monitor,Elastic logs integration with Azure Monitor,Integrate elastic logs with Azure Monitor - Microsoft Azure Data Manager for Energy,Integrate Elasticsearch logs with Azure Monitor,"This is a how-to article on how to start collecting Elasticsearch logs in Azure Monitor, archiving them to a storage account, and querying them in Log Analytics workspace.","In this article, you'll learn how to start collecting Elasticsearch logs for your Azure Data Manager for Energy instances in Azure Monitor. This integration feature is developed to help you debug Elasticsearch related issues inside Azure Monitor.",2023-06-28T11:14:00.000Z,how-to,integrations,0.8,True,"How-to for exporting Elasticsearch logs from ADME into Azure Monitor; typically lists diagnostic categories, resource types, and parameter values unique to this product integration.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-integrate-osdu-service-logs-with-azure-monitor,Integrate OSDU Service Logs with Azure Monitor,Integrate OSDU Service Logs with Azure Monitor - Microsoft Azure Data Manager for Energy,Export OSDU service logs to Azure Monitor,"This how-to article shows you how to integrate OSDU service logs with Azure Monitor. This feature helps you better troubleshoot, debug, & monitor the OSDU services.","Azure Data Manager for Energy supports exporting OSDU Service Logs to Azure Monitor using a diagnostic setting. This feature helps you better troubleshoot, debug, & monitor the OSDU services. The instructions here are similar to how you would integrate other logs, such as Airflow and Elastic, with Azure Monitor.",2023-05-08T22:04:00.000Z,how-to,integrations,0.8,True,Shows how to integrate OSDU service logs with Azure Monitor via diagnostic settings; includes product-specific log categories and configuration parameters.,unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-manage-acls,Manage ACLs,Manage ACLs in Azure Data Manager for Energy,Manage ACLs on Azure Energy data records,This article describes how to manage ACLs in Azure Data Manager for Energy.,"In this article, you learn how to add or remove ACLs from the data record in your Azure Data Manager for Energy instance.",2024-01-24T05:45:00.000Z,how-to,security,0.7,True,"Managing ACLs on data records is security/authorization configuration; such pages typically list ACL fields, allowed values, and patterns unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/energy-data-services/how-to-manage-audit-logs,Set up audit logs,How to manage audit logs for Microsoft Azure Data Manager for Energy,Configure and use audit logs in Azure Data Manager for Energy,Learn how to use audit logs on Azure Data Manager for Energy,"Audit logs provide auditing trails for data plane APIs on Azure Data Manager for Energy. With audit logs, you can tell: For example, when you “Add a new member” to theusers.datalake.adminsentitlement group using entitlements API, you're able to see this information in audit logs.",2023-10-13T11:27:00.000Z,how-to,configuration,0.65,True,"Managing audit logs for this service is likely to include product-specific settings such as log categories, destinations, and configuration parameters or examples for enabling and querying logs, which are detailed configuration behaviors not captured by generic logging knowledge.",unchanged
